,Title,Published_date,Views,Likes,Favourite,Comments,Month
253,Take Your Data Science Projects From Good to Great,2019-08-05,1624,108,0,11,Aug
254,The Projects You Should Do To Get A Data Science Job,2019-07-30,151651,5722,0,255,Jul
255,What Does a Data Scientist Actually Do?,2019-07-19,46803,1282,0,81,Jul
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13062,353,0,43,Jul
257,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18049,531,0,61,Jul
258,Data Science: Pros and Cons,2019-06-30,5327,220,0,18,Jun
259,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,25173,1207,0,89,Jun
260,My Top 5 Data Science Internship Tips,2019-06-15,11981,497,0,23,Jun
261,Golf STATS: Strokes Gained Explained,2019-06-07,7604,158,0,30,Jun
262,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,619,45,0,5,May
263,What I Learned From My Three Degrees,2019-05-17,1273,61,0,12,May
264,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25681,1071,0,66,May
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1256,40,0,2,May
266,Should You Learn R for Data Science?,2019-04-25,21391,570,0,71,Apr
267,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46494,857,0,331,Apr
268,Work From Home Data Scientist: Day in the Life,2019-04-12,28125,759,0,101,Apr
269,Where to Look for Data Science Jobs,2019-03-29,3018,120,0,9,Mar
270,Data Science: Startup vs. Large Corporation,2019-03-21,2201,75,0,4,Mar
271,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6198,175,0,26,Mar
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4226,180,0,15,Mar
273,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,814,33,0,12,Mar
274,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1445,36,0,8,Mar
275,Where YOU Should Start With Data Science Projects,2019-02-19,17263,352,0,17,Feb
276,Watch This Before Applying to Data Science Jobs,2019-02-04,1504,65,0,13,Feb
277,My Top 5 Data Science Resources for 2019,2019-01-05,3716,122,0,17,Jan
278,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,839,35,0,6,Dec
279,The Best Way to Predict NBA Minutes Played,2018-12-11,4497,110,0,14,Dec
280,Demystifying Data Science Roles,2018-11-30,1142,53,0,5,Nov
281,How to Simulate NBA Games in Python,2018-11-19,17927,395,0,54,Nov
282,Should You Get A Masters in Data Science?,2018-11-14,20631,305,0,135,Nov
283,How I Became A Data Scientist From a Business Background,2018-11-12,6488,197,0,23,Nov
284,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8830,192,0,17,Jul
285,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19055,295,0,41,Nov
